"","date","y","elapsed_time"
"1",2020-03-06,1,0
"2",2020-03-09,3,3
"3",2020-03-11,9,5
"4",2020-03-12,11,6
"5",2020-03-13,16,7
"6",2020-03-14,24,8
"7",2020-03-15,45,9
"8",2020-03-16,57,10
"9",2020-03-17,75,11
"10",2020-03-18,102,12
"11",2020-03-19,128,13
"12",2020-03-20,175,14
"13",2020-03-21,210,15
"14",2020-03-22,240,16
"15",2020-03-23,306,17
"16",2020-03-24,419,18
"17",2020-03-25,481,19
"18",2020-03-26,491,20
"19",2020-03-27,539,21
"20",2020-03-28,603,22
"21",2020-03-29,700,23
"22",2020-03-30,798,24
"23",2020-03-31,906,25
"24",2020-04-01,1065,26
"25",2020-04-02,1161,27
